iter	Passed	Remaining
0	16	8227
1	27	6861
2	38	6420
3	51	6345
4	61	6120
5	72	5976
6	83	5859
7	94	5785
8	109	6000
9	120	5894
10	130	5811
11	141	5741
12	152	5695
13	163	5671
14	181	5884
15	201	6098
16	221	6282
17	233	6239
18	245	6226
19	257	6172
20	270	6169
21	283	6152
22	301	6251
23	313	6212
24	324	6163
25	335	6114
26	348	6112
27	359	6064
28	371	6034
29	382	5991
30	393	5950
31	404	5909
32	414	5871
33	425	5835
34	436	5799
35	447	5763
36	457	5729
37	464	5646
38	475	5616
39	485	5586
40	497	5564
41	508	5542
42	519	5517
43	530	5501
44	543	5496
45	554	5476
46	566	5456
47	577	5438
48	588	5419
49	599	5399
50	610	5376
51	621	5356
52	632	5335
53	643	5316
54	647	5237
55	658	5221
56	669	5203
57	680	5184
58	691	5168
59	703	5158
60	714	5140
61	725	5123
62	737	5118
63	749	5103
64	761	5093
65	767	5049
66	784	5070
67	807	5128
68	830	5186
69	852	5235
70	872	5274
71	884	5255
72	897	5247
73	909	5234
74	922	5227
75	933	5208
76	945	5195
77	957	5181
78	968	5163
79	980	5147
80	991	5128
81	1002	5112
82	1013	5092
83	1025	5077
84	1037	5066
85	1048	5048
86	1060	5035
87	1072	5019
88	1083	5003
89	1099	5007
90	1110	4991
91	1123	4980
92	1133	4962
93	1144	4945
94	1155	4926
95	1166	4910
96	1177	4893
97	1188	4876
98	1199	4859
99	1210	4842
100	1221	4825
101	1232	4810
102	1244	4796
103	1255	4780
104	1266	4765
105	1281	4763
106	1295	4757
107	1306	4740
108	1320	4735
109	1340	4751
110	1350	4733
111	1363	4723
112	1374	4708
113	1385	4691
114	1396	4674
115	1407	4658
116	1418	4642
117	1429	4627
118	1440	4611
119	1452	4599
120	1463	4583
121	1474	4567
122	1485	4552
123	1495	4536
124	1507	4523
125	1518	4507
126	1538	4517
127	1559	4532
128	1578	4538
129	1594	4537
130	1605	4522
131	1616	4505
132	1627	4490
133	1638	4475
134	1649	4460
135	1660	4445
136	1671	4429
137	1682	4413
138	1695	4402
139	1706	4387
140	1709	4352
141	1729	4360
142	1751	4372
143	1774	4386
144	1787	4376
145	1810	4389
146	1824	4380
147	1835	4365
148	1846	4350
149	1858	4336
150	1869	4321
151	1880	4306
152	1891	4290
153	1903	4276
154	1914	4261
155	1925	4246
156	1936	4230
157	1947	4215
158	1958	4200
159	1981	4210
160	2002	4216
161	2018	4212
162	2031	4199
163	2042	4184
164	2053	4169
165	2064	4153
166	2075	4138
167	2089	4129
168	2102	4117
169	2112	4101
170	2124	4086
171	2134	4070
172	2145	4054
173	2155	4039
174	2167	4024
175	2177	4009
176	2188	3994
177	2199	3979
178	2210	3964
179	2223	3953
180	2235	3939
181	2246	3925
182	2257	3910
183	2271	3901
184	2285	3892
185	2297	3877
186	2308	3863
187	2321	3851
188	2335	3842
189	2350	3835
190	2366	3828
191	2383	3823
192	2398	3815
193	2415	3809
194	2432	3803
195	2449	3799
196	2460	3784
197	2471	3770
