customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RiskScore,RiskSegment
TC-0000001,Male,0,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.0,1262.07,No,18.55,Low Risk
TC-0000002,Female,1,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,104.02,7235.23,Yes,67.98,High Risk
TC-0000003,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),28.75,137.94,No,18.2,Low Risk
TC-0000004,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),43.2,1036.37,Yes,64.94,High Risk
TC-0000005,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.65,1128.03,Yes,67.38,High Risk
TC-0000006,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.6,213.6,No,32.59,Medium Risk
TC-0000007,Male,0,Yes,Yes,4,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,79.21,323.56,Yes,71.62,High Risk
TC-0000008,Female,1,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0,19.54,No,25.69,Medium Risk
TC-0000009,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,141.74,1405.77,Yes,77.55,Critical Risk
TC-0000010,Female,1,No,Yes,45,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,80.03,3877.48,No,23.36,Low Risk
TC-0000011,Male,0,No,Yes,46,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.18,3711.28,Yes,62.95,High Risk
TC-0000012,Female,0,No,No,2,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),113.64,222.33,Yes,71.4,High Risk
TC-0000013,Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,33.16,131.72,No,22.0,Low Risk
TC-0000014,Male,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.77,1064.17,Yes,68.73,High Risk
TC-0000015,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,134.27,4299.58,No,29.02,Medium Risk
TC-0000016,Male,1,No,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.58,1206.5,Yes,67.12,High Risk
TC-0000017,Male,1,Yes,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),117.25,1595.13,Yes,70.88,High Risk
TC-0000018,Female,1,Yes,No,17,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),87.68,1479.53,Yes,67.9,High Risk
TC-0000019,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,114.65,215.63,Yes,73.81,High Risk
TC-0000020,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.3,336.61,No,21.6,Low Risk
TC-0000021,Female,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.84,3526.9,Yes,62.35,High Risk
TC-0000022,Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,49.01,53.51,No,23.99,Low Risk
TC-0000023,Male,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),111.18,1704.49,Yes,70.04,High Risk
TC-0000024,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),125.99,948.22,Yes,72.32,High Risk
TC-0000025,Male,0,No,No,15,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),59.54,930.75,No,16.98,Low Risk
